Name,Field_id
Aerospace Engineering and Operations Technicians,1
Aerospace Engineers,1
Agricultural Engineers,1
"Architects, Except Landscape and Naval",1
Architectural and Civil Drafters,1
Architectural Drafters,1
Automotive Engineering Technicians,1
Automotive Engineers,1
Biochemical Engineers,1
Biomedical Engineers,1
Cartographers and Photogrammetrists,1
Chemical Engineers,1
Civil Drafters,1
Civil Engineering Technicians,1
Civil Engineers,1
Computer Hardware Engineers,1
"Drafters, All Other",1
Electrical and Electronic Engineering Technicians,1
Electrical and Electronics Drafters,1
Electrical Drafters,1
Electrical Engineering Technicians,1
Electrical Engineering Technologists,1
Electrical Engineers,1
Electro-Mechanical Technicians,1
Electromechanical Engineering Technologists,1
Electronic Drafters,1
Electronics Engineering Technicians,1
Electronics Engineering Technologists,1
"Electronics Engineers, Except Computer",1
Energy Engineers,1
"Engineering Technicians, Except Drafters, All Other",1
"Engineers, All Other",1
Environmental Engineering Technicians,1
Environmental Engineers,1
Fire-Prevention and Protection Engineers,1
Fuel Cell Engineers,1
Fuel Cell Technicians,1
Geodetic Surveyors,1
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1
Human Factors Engineers and Ergonomists,1
Industrial Engineering Technicians,1
Industrial Engineering Technologists,1
Industrial Engineers,1
Industrial Safety and Health Engineers,1
Landscape Architects,1
Manufacturing Engineering Technologists,1
Manufacturing Engineers,1
Manufacturing Production Technicians,1
Mapping Technicians,1
Marine Architects,1
Marine Engineers,1
Marine Engineers and Naval Architects,1
Materials Engineers,1
Mechanical Drafters,1
Mechanical Engineering Technicians,1
Mechanical Engineering Technologists,1
Mechanical Engineers,1
Mechatronics Engineers,1
Microsystems Engineers,1
"Mining and Geological Engineers, Including Mining Safety Engineers",1
Nanosystems Engineers,1
Nanotechnology Engineering Technicians,1
Nanotechnology Engineering Technologists,1
Non-Destructive Testing Specialists,1
Nuclear Engineers,1
Petroleum Engineers,1
Photonics Engineers,1
Photonics Technicians,1
Product Safety Engineers,1
Radio Frequency Identification Device Specialists,1
Robotics Engineers,1
Robotics Technicians,1
Solar Energy Systems Engineers,1
Surveying and Mapping Technicians,1
Surveying Technicians,1
Surveyors,1
Transportation Engineers,1
Validation Engineers,1
Water/Wastewater Engineers,1
Wind Energy Engineers,1
Actors,2
Art Directors,2
"Artists and Related Workers, All Other",2
Athletes and Sports Competitors,2
Audio and Video Equipment Technicians,2
Broadcast News Analysts,2
Broadcast Technicians,2
"Camera Operators, Television, Video, and Motion Picture",2
Choreographers,2
Coaches and Scouts,2
Commercial and Industrial Designers,2
Copy Writers,2
Craft Artists,2
Dancers,2
"Designers, All Other",2
"Directors- Stage, Motion Pictures, Television, and Radio",2
Editors,2
"Entertainers and Performers, Sports and Related Workers, All Other",2
Fashion Designers,2
Film and Video Editors,2
"Fine Artists, Including Painters, Sculptors, and Illustrators",2
Floral Designers,2
Graphic Designers,2
Interior Designers,2
Interpreters and Translators,2
"Media and Communication Equipment Workers, All Other",2
"Media and Communication Workers, All Other",2
Merchandise Displayers and Window Trimmers,2
Multimedia Artists and Animators,2
Music Composers and Arrangers,2
Music Directors,2
Music Directors and Composers,2
Musicians and Singers,2
"Musicians, Instrumental",2
Photographers,2
"Poets, Lyricists and Creative Writers",2
Producers,2
Producers and Directors,2
Program Directors,2
Public Address System and Other Announcers,2
Public Relations Specialists,2
Radio and Television Announcers,2
Radio Operators,2
Reporters and Correspondents,2
Set and Exhibit Designers,2
Singers,2
Sound Engineering Technicians,2
Talent Directors,2
Technical Directors/Managers,2
Technical Writers,2
"Umpires, Referees, and Other Sports Officials",2
Writers and Authors,2
"Building Cleaning Workers, All Other",3
First-Line Supervisors of Housekeeping and Janitorial Workers,3
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3
"Grounds Maintenance Workers, All Other",3
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",3
Landscaping and Groundskeeping Workers,3
Maids and Housekeeping Cleaners,3
Pest Control Workers,3
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3
Tree Trimmers and Pruners,3
Accountants,4
Accountants and Auditors,4
"Agents and Business Managers of Artists, Performers, and Athletes",4
Appraisers and Assessors of Real Estate,4
"Appraisers, Real Estate",4
Assessors,4
Auditors,4
Budget Analysts,4
Business Continuity Planners,4
"Business Operations Specialists, All Other",4
"Buyers and Purchasing Agents, Farm Products",4
"Claims Adjusters, Examiners, and Investigators",4
"Claims Examiners, Property and Casualty Insurance",4
"Compensation, Benefits, and Job Analysis Specialists",4
Compliance Officers,4
Coroners,4
Cost Estimators,4
Credit Analysts,4
Credit Counselors,4
Customs Brokers,4
Energy Auditors,4
Environmental Compliance Inspectors,4
Equal Opportunity Representatives and Officers,4
Farm Labor Contractors,4
Financial Analysts,4
Financial Examiners,4
Financial Quantitative Analysts,4
"Financial Specialists, All Other",4
"Fraud Examiners, Investigators and Analysts",4
Fundraisers,4
Government Property Inspectors and Investigators,4
Human Resources Specialists,4
"Insurance Adjusters, Examiners, and Investigators",4
"Insurance Appraisers, Auto Damage",4
Insurance Underwriters,4
Investment Underwriters,4
Labor Relations Specialists,4
Licensing Examiners and Inspectors,4
Loan Counselors,4
Loan Officers,4
Logisticians,4
Logistics Analysts,4
Logistics Engineers,4
Management Analysts,4
Market Research Analysts and Marketing Specialists,4
"Meeting, Convention, and Event Planners",4
Online Merchants,4
Personal Financial Advisors,4
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4
Regulatory Affairs Specialists,4
Risk Management Specialists,4
Security Management Specialists,4
Sustainability Specialists,4
"Tax Examiners and Collectors, and Revenue Agents",4
Tax Preparers,4
Training and Development Specialists,4
"Wholesale and Retail Buyers, Except Farm Products",4
"Child, Family, and School Social Workers",5
Clergy,5
"Community and Social Service Specialists, All Other",5
Community Health Workers,5
"Counselors, All Other",5
"Directors, Religious Activities and Education",5
"Educational, Guidance, School, and Vocational Counselors",5
Health Educators,5
Healthcare Social Workers,5
Marriage and Family Therapists,5
Mental Health and Substance Abuse Social Workers,5
Mental Health Counselors,5
Probation Officers and Correctional Treatment Specialists,5
Rehabilitation Counselors,5
